Line Name,Omics Sample ID,Strain (ICE),Genotype,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hpacid_secretion_rates (mmol/gDCW * hr),ethanol_secretion_rates (mmol/gDCW * hr),erythritol_secretion_rates (mmol/gDCW * hr),citricacid_secretion_rates (mmol/gDCW * hr)
SF ABF180_18_R2,SF ABF180_125,ABF_011249,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA-C5 ",,6.687296938,4.729898042,0,0.246503629,0.032233069
SF ABF180_18_R3,SF ABF180_126,ABF_011249,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA-C5 ",,6.625727666,5.328186361,0,0.249820107,0.029709
SF ABF180_19_R1,SF ABF180_127,ABF_011250,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA-C7",,8.06310844,6.756155098,0.23950342,0.21890434,0.02715587
SF ABF180_19_R2,SF ABF180_128,ABF_011250,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA-C7",,5.918047218,3.881908143,0.268437599,0.188225164,0.023009278
SF ABF180_19_R3,SF ABF180_129,ABF_011250,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA-C7",,6.169027171,6.583398717,0.31718467,0.199065272,0.03674165
SF ABF180_20_R1,SF ABF180_130,ABF_011253,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA, _ald3",,6.325003356,6.785046758,0.603597492,0.194668737,0.036191451
SF ABF180_20_R2,SF ABF180_131,ABF_011253,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA, _ald3",,8.203228098,7.082465445,0.374184497,0.113743219,0.035183106
SF ABF180_20_R3,SF ABF180_132,ABF_011253,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA, _ald3",,7.812432795,6.123615244,0.39388171,0.134640226,0.028892342
SF ABF180_21_R1,SF ABF180_133,ABF_011254,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA, _ald3, _coaT",,6.42244776,7.021286473,0.488656208,0.194687877,0.036488472
SF ABF180_21_R2,SF ABF180_134,ABF_011254,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA, _ald3, _coaT",,8.077409451,7.237711898,0.367663889,0.152185281,0.044582721
SF ABF180_21_R3,SF ABF180_135,ABF_011254,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA, _ald3, _coaT",,7.027405652,7.422391971,0.51390482,0.169762805,0.032461015
SF ABF180_22_R1,SF ABF180_136,ABF_011255,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA, Dald6b, _ald3, _coaT-4",,7.892177885,7.528656673,0.655878318,0.160244478,0.037672619
SF ABF180_22_R2,SF ABF180_137,ABF_011255,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA, Dald6b, _ald3, _coaT-4",,8.101941966,8.476177086,0.543545187,0.214660808,0.033800728
SF ABF180_22_R3,SF ABF180_138,ABF_011255,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA, Dald6b, _ald3, _coaT-4",,7.861379562,8.722019054,0.603835888,0.176792988,0.043974598
SF ABF180_23_R1,SF ABF180_139,ABF_011256,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA, Dald6b, _ald3, _coaT-10",,6.555255337,2.309272973,1.156549636,0.067356931,0.023812009
SF ABF180_23_R2,SF ABF180_140,ABF_011256,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA, Dald6b, _ald3, _coaT-10",,6.208912821,3.006093333,1.275625956,0.081345353,0.019898904
SF ABF180_23_R3,SF ABF180_141,ABF_011256,"(_Al-3HP)++, pyc2++, _ald6a, _iscA, _oahA, Dald6b, _ald3, _coaT-10",,7.140618602,3.541622187,1.455359952,0.086070549,0.020662136
SF ABF180_24_R1,SF ABF180_142,ABF_010214,"(_Al-3HP)++, pyc2+, _ald6a",,7.061113196,5.959641992,0.203431117,0.15153138,0.027047619
SF ABF180_24_R2,SF ABF180_143,ABF_010214,"(_Al-3HP)++, pyc2+, _ald6a",,5.101781322,4.421620513,0.197657159,0.192300161,0.02740059
SF ABF180_24_R3,SF ABF180_144,ABF_010214,"(_Al-3HP)++, pyc2+, _ald6a",,6.531195262,5.022925785,0,0.127322196,0.028730134
