Omics Sample ID,Strain (ICE),Genotype,growth_rate,glucose_uptake_rates (mmol/gDCW * hr),3hp_secretion_rates (mmol/gDCW * hr)
An_ZD_SF93_M_93,ABF_008899,"panD++, bapat++, hpdh++, pyc+, ΔoahA",0.04038481902635709,20.162510874557242,11.279951717353939
An_ZD_SF93_M_94,ABF_008900,"panD++, bapat++, hpdh++, pyc+, uga2+",0.04284418574957407,17.738144438332046,9.203968202482972
An_ZD_SF93_M_95,ABF_008900,"panD++, bapat++, hpdh++, pyc+, uga2+",0.04219988035430978,18.986620229137948,9.741029312002503
An_ZD_SF93_M_96,ABF_008900,"panD++, bapat++, hpdh++, pyc+, uga2+",0.04014911097611738,22.031252649873597,10.610719577947616
An_ZD_SF93_M_97,ABF_008349,"panD+, bapat+, hpdh+, pyc+, Δald6-2",0.04241238643879888,15.420220800876635,4.659546313411067
An_ZD_SF93_M_98,ABF_008349,"panD+, bapat+, hpdh+, pyc+, Δald6-2",0.040977375091671056,18.521859055058247,6.3701907036146395
An_ZD_SF93_M_99,ABF_008349,"panD+, bapat+, hpdh+, pyc+, Δald6-2",0.04301007021639143,15.667491590755509,5.313049183708688
An_ZD_SF93_M_100,ABF_009101,"panD+, bapat+, hpdh+, pyc+, aat+ (rebuild)",0.03977054695829271,19.474229488760933,4.997249809854159
An_ZD_SF93_M_101,ABF_009101,"panD+, bapat+, hpdh+, pyc+, aat+ (rebuild)",0.04087096226394995,17.727479248655076,4.958145019293983
An_ZD_SF93_M_102,ABF_009101,"panD+, bapat+, hpdh+, pyc+, aat+ (rebuild)",0.042775748709926766,15.346138012031508,4.57987136385835
,,,,,
